nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:   2%|▏         | 123/5338 [00:51<30:21,  2.86it/s, loss=-1.4052]
Train epoch 1:   2%|▏         | 124/5338 [00:51<30:54,  2.81it/s, loss=-1.4052]
Train epoch 1:   2%|▏         | 124/5338 [00:51<30:54,  2.81it/s, loss=-0.6381]
Train epoch 1:   2%|▏         | 125/5338 [00:51<30:39,  2.83it/s, loss=-0.6381]
Train epoch 1:   2%|▏         | 125/5338 [00:52<30:39,  2.83it/s, loss=-0.8269]
Train epoch 1:   2%|▏         | 126/5338 [00:52<31:08,  2.79it/s, loss=-0.8269]
Train epoch 1:   2%|▏         | 126/5338 [00:52<31:08,  2.79it/s, loss=-0.8536]
Train epoch 1:   2%|▏         | 127/5338 [00:52<31:01,  2.80it/s, loss=-0.8536]
Train epoch 1:   2%|▏         | 127/5338 [00:52<31:01,  2.80it/s, loss=-1.5581]
Train epoch 1:   2%|▏         | 128/5338 [00:52<31:04,  2.79it/s, loss=-1.5581]
Train epoch 1:   2%|▏         | 128/5338 [00:53<31:04,  2.79it/s, loss=-1.3609]
Train epoch 1:   2%|▏         | 129/5338 [00:53<31:24,  2.76it/s, loss=-1.3609]
Train epoch 1:   2%|▏         | 129/5338 [00:53<31:24,  2.76it/s, loss=-1.3920]
Train epoch 1:   2%|▏         | 130/5338 [00:53<31:59,  2.71it/s, loss=-1.3920]
Train epoch 1:   2%|▏         | 130/5338 [00:54<31:59,  2.71it/s, loss=-0.6940]
